riazi 1,fizik 1,mabani kamputer,riazi 2,fizik 2,ri gosaste,barname pishrafte,moadelat def,amar va eh,sakhteman dadeh,medar mantaghi,mabani fanavari,sex,memari com,mabani e didit,o va m modiriat,os,tarahi alg,nazariye,os tarahi DB,eghtesad mohandesi,moadel,
16.00,8.20,13.50,9.50,9.00,10.00,9.75,9.50,10.00,17.75,20.00,14.45,f,15.25,18.00,20.00,20.00,10.10,17.50,14.75,20.00,14.07,
15.00,12.30,9.80,8.50,12.00,17.00,14.50,14.50,10.50,12.69,14.00,12.00,f,15.50,11.00,20.00,13.50,9.43,12.00,12.00,18.50,14.26,
12.50,9.10,9.80,10.00,13.75,17.00,12.50,14.00,10.80,13.00,14.00,13.75,m,12.25,15.00,17.50,17.00,10.00,12.50,19.50,11.75,14.03,
12.00,17.00,15.50,19.50,19.00,20.00,10.00,19.00,9.50,10.00,10.00,13.25,m,16.00,15.25,19.00,11.60,14.67,10.50,11.00,12.00,13.85,
13.50,20.00,19.00,17.75,18.00,20.00,17.36,15.00,10.00,16.07,20.00,17.50,m,20.00,13.50,19.50,16.60,13.84,20.00,16.75,15.50,13.96,
12.00,8.50,10.50,16.00,13.50,15.50,11.04,13.50,14.25,11.13,16.00,19.00,f,10.00,13.00,19.25,17.75,12.54,16.75,10.00,18.00,15.08,
7.00,10.00,9.75,12.50,8.25,15.71,10.00,,9.50,9.73,14.25,15.50,f,12.00,16.50,16.50,17.98,15.56,17.50,11.00,12.25,13.66,
8.00,7.50,11.00,12.00,10.00,15.20,10.00,12.00,13.50,10.00,10.25,20.00,f,12.00,17.25,15.75,15.57,13.88,16.50,15.80,13.50,13.57,
7.00,7.00,9.75,10.00,10.00,12.26,11.15,8.00,9.25,9.71,15.25,16.75,m,10.00,9.50,16.75,12.96,14.33,17.25,11.54,15.50,12.78,
12.00,15.25,10.50,9.75,10.00,9.25,9.00,10.00,10.00,12.82,12.00,17.00,f,14.25,9.50,15.00,15.00,9.53,20.00,9.20,9.00,12.92,
14.00,8.00,11.75,13.75,13.00,14.00,16.07,10.25,16.00,14.19,15.25,16.75,f,13.50,13.00,17.00,18.36,15.30,18.00,18.50,19.00,15.29,
19.00,17.00,17.25,14.50,18.50,15.00,19.25,17.00,16.75,18.95,19.00,20.00,f,16.50,20.00,19.00,19.02,19.00,20.00,18.50,18.75,18.17,
17.50,15.00,14.50,12.00,17.50,16.75,9.00,13.00,16.00,18.00,18.50,18.75,f,11.50,12.00,19.75,18.08,17.36,20.00,14.50,18.75,16.61,
10.25,12.50,13.75,9.75,11.25,12.50,17.41,10.00,14.50,14.23,16.00,18.75,m,11.50,12.00,14.75,15.55,12.78,13.75,9.40,12.50,14.46,
10.50,11.00,9.75,16.50,14.75,13.50,11.59,9.00,12.00,14.87,11.50,17.50,m,9.50,15.00,18.50,11.63,12.62,13.75,14.25,13.25,13.91,
13.25,13.00,11.00,10.00,15.00,11.00,13.43,20.00,11.00,13.23,12.75,16.75,m,11.00,10.00,13.50,15.20,15.84,17.75,9.00,16.25,14.25,
11.00,11.50,11.50,11.25,12.75,11.00,17.00,10.00,9.50,13.40,11.25,17.00,m,15.00,13.00,13.75,16.83,11.58,16.00,10.00,10.00,13.39,
11.00,13.25,12.50,10.50,12.75,14.50,19.50,13.00,14.50,17.25,14.25,18.50,m,19.00,10.00,18.00,19.77,13.85,13.25,9.00,18.00,15.44,
12.00,12.50,9.75,15.75,10.00,12.00,10.16,,13.00,13.87,10.75,16.50,m,9.50,12.00,11.00,11.59,10.76,15.50,11.75,17.00,13.36,
12.00,16.75,12.75,9.75,19.00,11.50,9.50,17.75,14.25,9.68,4.75,16.50,m,10.50,12.75,19.00,11.84,12.06,11.00,7.70,10.00,13.38,
13.50,8.25,14.25,11.25,18.50,13.50,16.52,17.00,14.50,16.00,17.00,18.50,m,12.00,12.00,20.00,17.00,14.42,20.00,20.00,20.00,15.99,
16.00,18.50,18.00,13.00,14.00,14.50,18.50,16.25,17.00,14.71,16.50,18.75,m,16.00,12.00,16.75,18.50,11.00,17.75,12.00,20.00,16.51,
8.00,7.00,9.75,13.00,,13.62,10.00,8.00,12.50,11.86,14.25,16.25,m,14.00,15.50,14.50,10.72,9.86,12.25,9.00,12.00,12.74,
12.00,10.00,13.75,10.00,17.00,14.50,11.44,10.00,13.25,14.50,13.25,16.75,m,12.00,13.00,13.50,10.78,14.71,16.25,16.75,11.75,13.51,
8.50,16.00,14.75,10.00,18.75,14.96,12.72,9.00,9.25,13.39,16.50,15.75,m,16.00,13.25,15.75,11.89,13.44,11.00,7.00,12.25,13.44,
10.00,17.75,9.75,12.25,16.00,12.50,10.00,10.00,15.25,15.50,13.50,19.00,f,11.00,12.00,17.50,17.67,17.07,19.50,15.25,16.00,14.78,
16.00,15.75,9.75,7.00,16.75,12.50,10.00,12.00,15.50,13.91,17.00,20.00,f,10.00,11.00,18.00,13.56,13.15,11.00,12.25,19.50,14.43,
10.00,10.50,12.50,10.00,13.25,16.00,13.37,11.00,14.75,13.02,14.00,18.75,m,10.00,9.50,17.25,14.13,13.03,16.25,14.00,14.50,14.18,
11.00,10.00,12.00,10.00,14.00,8.75,10.00,11.00,9.50,11.38,10.00,16.25,f,13.25,9.50,17.50,10.50,13.46,15.50,12.00,12.00,12.96,
10.00,11.00,9.75,17.00,10.00,10.00,10.00,16.50,10.00,7.75,11.75,15.50,m,10.00,9.50,14.25,13.20,10.00,11.75,7.90,16.75,12.87,
12.00,15.50,9.75,13.25,13.25,11.50,15.32,12.00,16.50,13.90,18.50,19.25,f,18.00,20.00,19.75,17.13,15.39,17.75,15.50,18.00,15.88,
8.50,11.75,9.00,12.00,8.50,10.00,9.50,10.00,11.50,12.37,10.00,17.00,f,10.00,9.50,18.00,12.20,11.06,10.00,12.00,10.00,12.78,
10.00,10.00,9.75,11.25,13.00,11.00,10.00,19.25,15.50,9.72,5.75,16.50,f,10.00,13.25,20.00,13.36,11.40,15.00,8.30,12.50,13.20,
13.00,14.50,14.00,9.75,12.50,13.50,16.50,10.00,11.00,14.29,15.25,16.75,m,14.00,18.00,17.25,16.81,14.93,17.75,16.00,17.50,15.22,
11.00,16.25,16.00,12.75,13.00,13.00,18.75,10.00,14.25,15.77,15.00,18.75,m,12.00,15.00,16.25,18.19,17.95,20.00,20.00,15.25,15.43,
8.00,10.25,10.50,14.00,14.25,10.65,10.00,9.00,9.25,10.00,17.00,16.00,f,12.00,18.00,17.25,15.03,9.51,10.00,8.18,13.50,13.33,
12.00,11.50,14.00,15.00,16.50,15.50,17.16,11.25,13.50,14.36,18.50,16.50,f,14.00,17.00,18.75,15.22,12.69,19.00,13.20,18.00,15.69,
11.50,16.00,9.75,11.50,17.75,10.75,10.56,12.00,15.50,10.00,15.75,18.00,f,10.00,9.50,16.50,13.04,12.00,16.75,8.30,17.75,13.83,
10.00,10.00,13.00,9.75,7.00,8.50,13.50,8.00,10.00,12.52,13.50,18.50,m,10.50,9.50,15.50,10.67,13.31,12.50,8.70,15.00,12.94,
11.00,11.75,9.75,16.00,13.75,13.50,10.00,10.00,15.00,10.11,15.25,17.50,f,10.00,13.00,19.75,16.19,12.25,16.50,10.00,15.75,14.41,
13.00,7.00,9.75,12.75,9.50,10.00,9.69,11.00,8.50,10.00,13.75,14.00,m,10.00,13.50,12.25,15.53,11.85,9.75,13.00,19.50,11.79,
10.00,14.00,10.50,9.50,10.00,13.50,10.00,11.50,7.00,13.30,18.00,18.50,m,10.25,11.25,16.50,13.75,11.35,13.50,13.50,10.00,13.01,
11.00,14.75,10.50,14.00,15.50,19.00,10.83,14.00,9.00,16.58,16.25,16.50,f,16.00,,16.75,12.50,16.94,18.25,14.75,15.00,15.39,
15.00,11.50,13.75,12.50,9.50,11.25,12.26,15.00,10.00,11.40,12.75,11.45,f,14.00,13.25,17.00,16.10,11.88,,13.75,12.50,12.50,
5.50,13.00,19.50,9.00,8.00,11.00,19.90,,9.40,15.50,12.00,16.75,m,13.70,12.25,11.25,16.25,10.00,11.50,15.00,,13.54,
10.50,10.51,10.25,11.50,10.00,14.50,9.69,,12.40,17.98,17.25,17.25,m,13.50,9.75,16.50,12.75,10.26,14.50,16.50,,14.32,
14.00,14.00,16.00,16.00,15.50,17.00,11.34,16.00,14.50,18.56,17.25,16.00,f,18.75,14.25,15.50,16.50,17.69,20.00,17.25,18.00,16.22,
12.75,14.50,13.25,14.00,16.00,18.00,9.76,18.00,14.50,19.32,18.75,16.75,f,20.00,10.75,16.75,17.75,19.22,20.00,19.00,17.00,17.01,
10.00,14.50,9.00,10.00,8.00,13.75,10.06,11.00,5.50,12.82,10.25,17.00,m,15.00,11.75,14.25,12.00,9.82,14.25,14.75,14.75,13.09,
12.50,14.50,14.75,13.00,10.00,14.50,19.18,13.00,9.00,15.12,20.00,16.00,m,15.50,9.50,15.00,15.75,10.00,15.50,12.25,14.50,14.15,
10.75,10.50,14.75,12.50,9.50,16.00,14.15,14.50,9.25,14.10,16.75,16.25,m,19.00,10.25,15.50,16.00,11.04,19.75,14.50,17.00,14.44,
12.25,13.00,19.75,12.00,8.50,18.75,19.00,11.00,12.60,20.00,14.00,18.75,m,19.00,9.75,17.50,11.00,15.54,14.75,18.50,18.50,15.10,
10.00,12.59,10.50,9.00,9.50,10.00,10.00,,8.75,10.00,19.00,16.25,f,16.25,10.25,15.50,12.00,12.77,15.25,10.00,14.50,13.18,
11.00,14.50,9.50,13.00,9.00,10.50,10.24,,8.00,9.70,9.75,16.00,f,14.00,,15.75,16.75,11.04,10.00,14.00,14.00,13.27,
13.75,16.50,18.25,10.00,15.00,16.00,11.98,13.00,14.00,13.69,14.50,16.75,f,18.00,13.00,13.50,13.50,13.26,15.00,18.75,16.50,15.64,
12.00,12.00,12.50,10.50,8.00,14.00,9.84,,8.00,10.00,13.00,17.25,f,15.25,9.75,16.00,12.75,9.62,14.50,10.00,,13.08,
17.00,12.50,11.00,15.50,10.00,17.50,13.78,,14.00,16.64,20.00,17.25,f,18.50,16.25,16.00,14.50,13.62,20.00,17.25,18.00,15.91,
12.25,14.00,16.50,15.00,14.00,16.75,12.96,11.00,6.50,17.27,13.75,18.00,m,12.25,9.50,16.00,15.50,11.19,15.00,18.00,17.00,14.74,
10.00,7.50,10.00,9.00,,10.00,11.09,9.75,8.00,12.75,10.00,19.00,m,10.00,,9.50,10.00,9.29,12.00,13.50,11.25,11.32,
10.75,12.75,12.50,14.00,8.50,11.25,13.62,11.50,11.25,11.80,10.00,15.00,m,14.25,,10.75,10.00,10.00,10.00,9.75,,12.29,
10.00,11.25,9.00,15.00,9.50,16.00,10.65,,8.00,10.00,17.25,16.50,m,15.25,,17.00,13.25,10.22,,15.75,14.00,13.40,
